DATE,Population
1959-01-01,175818.00
1959-02-01,176044.00
1959-03-01,176274.00
1959-04-01,176503.00
1959-05-01,176723.00
1959-06-01,176954.00
1959-07-01,177208.00
1959-08-01,177479.00
1959-09-01,177755.00
1959-10-01,178026.00
1959-11-01,178273.00
1959-12-01,178504.00
1960-01-01,178925.00
1960-02-01,179326.00
1960-03-01,179707.00
1960-04-01,180067.00
1960-05-01,180408.00
1960-06-01,180728.00
1960-07-01,181028.00
1960-08-01,181308.00
1960-09-01,181567.00
1960-10-01,181807.00
1960-11-01,182026.00
1960-12-01,182225.00
1961-01-01,182404.00
1961-02-01,182631.00
1961-03-01,182867.00
1961-04-01,183105.00
1961-05-01,183335.00
1961-06-01,183572.00
1961-07-01,183825.00
1961-08-01,184101.00
1961-09-01,184384.00
1961-10-01,184654.00
1961-11-01,184900.00
1961-12-01,185129.00
1962-01-01,185347.00
1962-02-01,185551.00
1962-03-01,185762.00
1962-04-01,185981.00
1962-05-01,186201.00
1962-06-01,186426.00
1962-07-01,186664.00
1962-08-01,186924.00
1962-09-01,187191.00
1962-10-01,187449.00
1962-11-01,187685.00
1962-12-01,187905.00
1963-01-01,188113.00
1963-02-01,188300.00
1963-03-01,188484.00
1963-04-01,188685.00
1963-05-01,188904.00
1963-06-01,189130.00
1963-07-01,189369.00
1963-08-01,189629.00
1963-09-01,189895.00
1963-10-01,190147.00
1963-11-01,190369.00
1963-12-01,190570.00
1964-01-01,190763.00
1964-02-01,190953.00
1964-03-01,191146.00
1964-04-01,191346.00
1964-05-01,191557.00
1964-06-01,191778.00
1964-07-01,192010.00
1964-08-01,192254.00
1964-09-01,192504.00
1964-10-01,192739.00
1964-11-01,192943.00
1964-12-01,193131.00
1965-01-01,193308.00
1965-02-01,193467.00
1965-03-01,193625.00
1965-04-01,193799.00
1965-05-01,193988.00
1965-06-01,194195.00
1965-07-01,194416.00
1965-08-01,194645.00
1965-09-01,194879.00
1965-10-01,195096.00
1965-11-01,195284.00
1965-12-01,195456.00
1966-01-01,195614.00
1966-02-01,195760.00
1966-03-01,195915.00
1966-04-01,196089.00
1966-05-01,196275.00
1966-06-01,196466.00
1966-07-01,196661.00
1966-08-01,196873.00
1966-09-01,197096.00
1966-10-01,197303.00
1966-11-01,197485.00
1966-12-01,197654.00
1967-01-01,197814.00
1967-02-01,197965.00
1967-03-01,198122.00
1967-04-01,198287.00
1967-05-01,198452.00
1967-06-01,198627.00
1967-07-01,198812.00
1967-08-01,199012.00
1967-09-01,199212.00
1967-10-01,199405.00
1967-11-01,199578.00
1967-12-01,199733.00
1968-01-01,199864.00
1968-02-01,199988.00
1968-03-01,200132.00
1968-04-01,200285.00
1968-05-01,200449.00
1968-06-01,200621.00
1968-07-01,200802.00
1968-08-01,200997.00
1968-09-01,201193.00
1968-10-01,201378.00
1968-11-01,201544.00
1968-12-01,201691.00
1969-01-01,201821.00
1969-02-01,201952.00
1969-03-01,202092.00
1969-04-01,202246.00
1969-05-01,202419.00
1969-06-01,202592.00
1969-07-01,202777.00
1969-08-01,202984.00
1969-09-01,203196.00
1969-10-01,203401.00
1969-11-01,203588.00
1969-12-01,203762.00
1970-01-01,203929.00
1970-02-01,204082.00
1970-03-01,204246.00
1970-04-01,204504.00
1970-05-01,204719.00
1970-06-01,204941.00
1970-07-01,205174.00
1970-08-01,205418.00
1970-09-01,205664.00
1970-10-01,205906.00
1970-11-01,206131.00
1970-12-01,206352.00
1971-01-01,206567.00
1971-02-01,206762.00
1971-03-01,206960.00
1971-04-01,207163.00
1971-05-01,207361.00
1971-06-01,207562.00
1971-07-01,207771.00
1971-08-01,207998.00
1971-09-01,208230.00
1971-10-01,208450.00
1971-11-01,208648.00
1971-12-01,208829.00
1972-01-01,208989.00
1972-02-01,209137.00
1972-03-01,209299.00
1972-04-01,209466.00
1972-05-01,209635.00
1972-06-01,209811.00
1972-07-01,209986.00
1972-08-01,210177.00
1972-09-01,210379.00
1972-10-01,210568.00
1972-11-01,210739.00
1972-12-01,210903.00
1973-01-01,211053.00
1973-02-01,211187.00
1973-03-01,211337.00
1973-04-01,211499.00
1973-05-01,211662.00
1973-06-01,211828.00
1973-07-01,212001.00
1973-08-01,212191.00
1973-09-01,212382.00
1973-10-01,212555.00
1973-11-01,212710.00
1973-12-01,212859.00
1974-01-01,213003.00
1974-02-01,213143.00
1974-03-01,213286.00
1974-04-01,213437.00
1974-05-01,213600.00
1974-06-01,213770.00
1974-07-01,213948.00
1974-08-01,214144.00
1974-09-01,214349.00
1974-10-01,214538.00
1974-11-01,214704.00
1974-12-01,214857.00
1975-01-01,214998.00
1975-02-01,215132.00
1975-03-01,215276.00
1975-04-01,215438.00
1975-05-01,215646.00
1975-06-01,215871.00
1975-07-01,216084.00
1975-08-01,216294.00
1975-09-01,216490.00
1975-10-01,216679.00
1975-11-01,216851.00
1975-12-01,217013.00
1976-01-01,217172.00
1976-02-01,217315.00
1976-03-01,217455.00
1976-04-01,217607.00
1976-05-01,217773.00
1976-06-01,217948.00
1976-07-01,218134.00
1976-08-01,218337.00
1976-09-01,218542.00
1976-10-01,218739.00
1976-11-01,218920.00
1976-12-01,219093.00
1977-01-01,219262.00
1977-02-01,219424.00
1977-03-01,219594.00
1977-04-01,219772.00
1977-05-01,219953.00
1977-06-01,220143.00
1977-07-01,220349.00
1977-08-01,220573.00
1977-09-01,220796.00
1977-10-01,221007.00
1977-11-01,221206.00
1977-12-01,221390.00
1978-01-01,221553.00
1978-02-01,221711.00
1978-03-01,221892.00
1978-04-01,222084.00
1978-05-01,222278.00
1978-06-01,222482.00
1978-07-01,222697.00
1978-08-01,222933.00
1978-09-01,223168.00
1978-10-01,223383.00
1978-11-01,223585.00
1978-12-01,223781.00
1979-01-01,223973.00
1979-02-01,224150.00
1979-03-01,224333.00
1979-04-01,224529.00
1979-05-01,224734.00
1979-06-01,224948.00
1979-07-01,225174.00
1979-08-01,225419.00
1979-09-01,225662.00
1979-10-01,225893.00
1979-11-01,226120.00
1979-12-01,226339.00
1980-01-01,226554.00
1980-02-01,226753.00
1980-03-01,226955.00
1980-04-01,227156.00
1980-05-01,227387.00
1980-06-01,227624.00
1980-07-01,227840.00
1980-08-01,228070.00
1980-09-01,228302.00
1980-10-01,228515.00
1980-11-01,228696.00
1980-12-01,228858.00
1981-01-01,229004.00
1981-02-01,229148.00
1981-03-01,229314.00
1981-04-01,229489.00
1981-05-01,229668.00
1981-06-01,229864.00
1981-07-01,230077.00
1981-08-01,230300.00
1981-09-01,230527.00
1981-10-01,230732.00
1981-11-01,230906.00
1981-12-01,231073.00
1982-01-01,231235.00
1982-02-01,231392.00
1982-03-01,231558.00
1982-04-01,231727.00
1982-05-01,231901.00
1982-06-01,232090.00
1982-07-01,232290.00
1982-08-01,232496.00
1982-09-01,232708.00
1982-10-01,232905.00
1982-11-01,233077.00
1982-12-01,233241.00
1983-01-01,233398.00
1983-02-01,233543.00
1983-03-01,233697.00
1983-04-01,233852.00
1983-05-01,234020.00
1983-06-01,234213.00
1983-07-01,234404.00
1983-08-01,234601.00
1983-09-01,234804.00
1983-10-01,234993.00
1983-11-01,235157.00
1983-12-01,235310.00
1984-01-01,235456.00
1984-02-01,235601.00
1984-03-01,235757.00
1984-04-01,235916.00
1984-05-01,236077.00
1984-06-01,236254.00
1984-07-01,236449.00
1984-08-01,236655.00
1984-09-01,236868.00
1984-10-01,237068.00
1984-11-01,237238.00
1984-12-01,237392.00
1985-01-01,237535.00
1985-02-01,237667.00
1985-03-01,237816.00
1985-04-01,237987.00
1985-05-01,238172.00
1985-06-01,238368.00
1985-07-01,238573.00
1985-08-01,238789.00
1985-09-01,239006.00
1985-10-01,239210.00
1985-11-01,239392.00
1985-12-01,239558.00
1986-01-01,239713.00
1986-02-01,239858.00
1986-03-01,240011.00
1986-04-01,240183.00
1986-05-01,240365.00
1986-06-01,240555.00
1986-07-01,240753.00
1986-08-01,240961.00
1986-09-01,241171.00
1986-10-01,241371.00
1986-11-01,241544.00
1986-12-01,241702.00
1987-01-01,241857.00
1987-02-01,242005.00
1987-03-01,242166.00
1987-04-01,242338.00
1987-05-01,242516.00
1987-06-01,242706.00
1987-07-01,242908.00
1987-08-01,243118.00
1987-09-01,243335.00
1987-10-01,243543.00
1987-11-01,243724.00
1987-12-01,243895.00
1988-01-01,244056.00
1988-02-01,244205.00
1988-03-01,244362.00
1988-04-01,244528.00
1988-05-01,244708.00
1988-06-01,244914.00
1988-07-01,245131.00
1988-08-01,245352.00
1988-09-01,245579.00
1988-10-01,245789.00
1988-11-01,245970.00
1988-12-01,246140.00
1989-01-01,246301.00
1989-02-01,246454.00
1989-03-01,246626.00
1989-04-01,246814.00
1989-05-01,247010.00
1989-06-01,247228.00
1989-07-01,247458.00
1989-08-01,247695.00
1989-09-01,247942.00
1989-10-01,248174.00
1989-11-01,248380.00
1989-12-01,248569.00
1990-01-01,248743.00
1990-02-01,248920.00
1990-03-01,249146.00
1990-04-01,249436.00
1990-05-01,249707.00
1990-06-01,249990.00
1990-07-01,250285.00
1990-08-01,250595.00
1990-09-01,250904.00
1990-10-01,251201.00
1990-11-01,251486.00
1990-12-01,251758.00
1991-01-01,252012.00
1991-02-01,252253.00
1991-03-01,252507.00
1991-04-01,252778.00
1991-05-01,253060.00
1991-06-01,253350.00
1991-07-01,253650.00
1991-08-01,253966.00
1991-09-01,254280.00
1991-10-01,254576.00
1991-11-01,254841.00
1991-12-01,255089.00
1992-01-01,255331.00
1992-02-01,255576.00
1992-03-01,255848.00
1992-04-01,256139.00
1992-05-01,256437.00
1992-06-01,256742.00
1992-07-01,257063.00
1992-08-01,257390.00
1992-09-01,257704.00
1992-10-01,258004.00
1992-11-01,258280.00
1992-12-01,258546.00
1993-01-01,258799.00
1993-02-01,259036.00
1993-03-01,259283.00
1993-04-01,259547.00
1993-05-01,259822.00
1993-06-01,260109.00
1993-07-01,260411.00
1993-08-01,260717.00
1993-09-01,261015.00
1993-10-01,261294.00
1993-11-01,261550.00
1993-12-01,261796.00
1994-01-01,262021.00
1994-02-01,262237.00
1994-03-01,262491.00
1994-04-01,262754.00
1994-05-01,263014.00
1994-06-01,263294.00
1994-07-01,263580.00
1994-08-01,263871.00
1994-09-01,264159.00
1994-10-01,264430.00
1994-11-01,264681.00
1994-12-01,264924.00
1995-01-01,265157.00
1995-02-01,265383.00
1995-03-01,265625.00
1995-04-01,265877.00
1995-05-01,266134.00
1995-06-01,266414.00
1995-07-01,266700.00
1995-08-01,266998.00
1995-09-01,267304.00
1995-10-01,267585.00
1995-11-01,267829.00
1995-12-01,268047.00
1996-01-01,268258.00
1996-02-01,268480.00
1996-03-01,268724.00
1996-04-01,268980.00
1996-05-01,269247.00
1996-06-01,269527.00
1996-07-01,269822.00
1996-08-01,270130.00
1996-09-01,270433.00
1996-10-01,270730.00
1996-11-01,271002.00
1996-12-01,271243.00
1997-01-01,271472.00
1997-02-01,271703.00
1997-03-01,271952.00
1997-04-01,272213.00
1997-05-01,272482.00
1997-06-01,272767.00
1997-07-01,273074.00
1997-08-01,273395.00
1997-09-01,273703.00
1997-10-01,273989.00
1997-11-01,274249.00
1997-12-01,274499.00
1998-01-01,274732.00
1998-02-01,274943.00
1998-03-01,275175.00
1998-04-01,275434.00
1998-05-01,275700.00
1998-06-01,275976.00
1998-07-01,276266.00
1998-08-01,276566.00
1998-09-01,276859.00
1998-10-01,277140.00
1998-11-01,277402.00
1998-12-01,277658.00
1999-01-01,277891.00
1999-02-01,278095.00
1999-03-01,278324.00
1999-04-01,278584.00
1999-05-01,278859.00
1999-06-01,279148.00
1999-07-01,279448.00
1999-08-01,279752.00
1999-09-01,280053.00
1999-10-01,280337.00
1999-11-01,280594.00
1999-12-01,280846.00
2000-01-01,281083.00
2000-02-01,281299.00
2000-03-01,281531.00
2000-04-01,281763.00
2000-05-01,281996.00
2000-06-01,282247.00
2000-07-01,282504.00
2000-08-01,282769.00
2000-09-01,283033.00
2000-10-01,283285.00
2000-11-01,283523.00
2000-12-01,283748.00
2001-01-01,283960.00
2001-02-01,284166.00
2001-03-01,284380.00
2001-04-01,284602.00
2001-05-01,284834.00
2001-06-01,285076.00
2001-07-01,285324.00
2001-08-01,285584.00
2001-09-01,285842.00
2001-10-01,286086.00
2001-11-01,286315.00
2001-12-01,286533.00
2002-01-01,286739.00
2002-02-01,286935.00
2002-03-01,287131.00
2002-04-01,287343.00
2002-05-01,287571.00
2002-06-01,287808.00
2002-07-01,288051.00
2002-08-01,288303.00
2002-09-01,288554.00
2002-10-01,288794.00
2002-11-01,289012.00
2002-12-01,289214.00
2003-01-01,289412.00
2003-02-01,289606.00
2003-03-01,289809.00
2003-04-01,290024.00
2003-05-01,290250.00
2003-06-01,290484.00
2003-07-01,290726.00
2003-08-01,290974.00
2003-09-01,291222.00
2003-10-01,291463.00
2003-11-01,291677.00
2003-12-01,291868.00
2004-01-01,292046.00
2004-02-01,292230.00
2004-03-01,292434.00
2004-04-01,292651.00
2004-05-01,292872.00
2004-06-01,293103.00
2004-07-01,293350.00
2004-08-01,293603.00
2004-09-01,293857.00
2004-10-01,294104.00
2004-11-01,294337.00
2004-12-01,294561.00
2005-01-01,294768.00
2005-02-01,294955.00
2005-03-01,295149.00
2005-04-01,295359.00
2005-05-01,295582.00
2005-06-01,295824.00
2005-07-01,296077.00
2005-08-01,296338.00
2005-09-01,296606.00
2005-10-01,296857.00
2005-11-01,297089.00
2005-12-01,297311.00
2006-01-01,297526.00
2006-02-01,297734.00
2006-03-01,297950.00
2006-04-01,298170.00
2006-05-01,298401.00
2006-06-01,298653.00
2006-07-01,298910.00
2006-08-01,299178.00
2006-09-01,299452.00
2006-10-01,299710.00
2006-11-01,299950.00
2006-12-01,300178.00
2007-01-01,300398.00
2007-02-01,300608.00
2007-03-01,300823.00
2007-04-01,301045.00
2007-05-01,301278.00
2007-06-01,301528.00
2007-07-01,301790.00
2007-08-01,302064.00
2007-09-01,302334.00
2007-10-01,302590.00
2007-11-01,302834.00
2007-12-01,303062.00
2008-01-01,303280.00
2008-02-01,303494.00
2008-03-01,303707.00
2008-04-01,303926.00
2008-05-01,304157.00
2008-06-01,304396.00
2008-07-01,304646.00
2008-08-01,304903.00
2008-09-01,305158.00
2008-10-01,305403.00
2008-11-01,305620.00
2008-12-01,305827.00
2009-01-01,306035.00
2009-02-01,306237.00
2009-03-01,306438.00
2009-04-01,306645.00
2009-05-01,306863.00
2009-06-01,307090.00
2009-07-01,307322.00
2009-08-01,307570.00
2009-09-01,307826.00
2009-10-01,308071.00
2009-11-01,308289.00
2009-12-01,308495.00
2010-01-01,308706.00
2010-02-01,308904.00
2010-03-01,309095.00
2010-04-01,309289.00
2010-05-01,309485.00
2010-06-01,309691.00
2010-07-01,309913.00
2010-08-01,310146.00
2010-09-01,310385.00
2010-10-01,310612.00
2010-11-01,310820.00
2010-12-01,311020.00
2011-01-01,311204.00
2011-02-01,311373.00
2011-03-01,311551.00
2011-04-01,311740.00
2011-05-01,311935.00
2011-06-01,312147.00
2011-07-01,312372.00
2011-08-01,312605.00
2011-09-01,312842.00
2011-10-01,313060.00
2011-11-01,313260.00
2011-12-01,313454.00
2012-01-01,313636.00
2012-02-01,313811.00
2012-03-01,313993.00
2012-04-01,314176.00
2012-05-01,314368.00
2012-06-01,314576.00
2012-07-01,314796.00
2012-08-01,315031.00
2012-09-01,315264.00
2012-10-01,315485.00
2012-11-01,315692.00
2012-12-01,315877.00
2013-01-01,316038.00
2013-02-01,316191.00
2013-03-01,316357.00
2013-04-01,316535.00
2013-05-01,316729.00
2013-06-01,316934.00
2013-07-01,317156.00
2013-08-01,317397.00
2013-09-01,317635.00
2013-10-01,317864.00
2013-11-01,318076.00
2013-12-01,318276.00
2014-01-01,318464.00
2014-02-01,318642.00
2014-03-01,318827.00
2014-04-01,319020.00
2014-05-01,319225.00
2014-06-01,319438.00
2014-07-01,319670.00
2014-08-01,319919.00
2014-09-01,320166.00
2014-10-01,320403.00
2014-11-01,320616.00
2014-12-01,320815.00
2015-01-01,320997.00
2015-02-01,321164.00
2015-03-01,321344.00
2015-04-01,321538.00
2015-05-01,321740.00
2015-06-01,321954.00
2015-07-01,322186.00
2015-08-01,322427.00
2015-09-01,322670.00
2015-10-01,322901.00
2015-11-01,323113.00
2015-12-01,323318.00
2016-01-01,323509.00
2016-02-01,323687.00
2016-03-01,323871.00
2016-04-01,324061.00
2016-05-01,324260.00
2016-06-01,324476.00
2016-07-01,324697.00
2016-08-01,324924.00
2016-09-01,325155.00
2016-10-01,325368.00
2016-11-01,325562.00
2016-12-01,325742.00
2017-01-01,325901.00
2017-02-01,326050.00
2017-03-01,326207.00
2017-04-01,326371.00
2017-05-01,326548.00
2017-06-01,326743.00
2017-07-01,326939.00
2017-08-01,327140.00
2017-09-01,327342.00
2017-10-01,327528.00
2017-11-01,327699.00
2017-12-01,327848.00
2018-01-01,327969.00
2018-02-01,328085.00
2018-03-01,328219.00
2018-04-01,328364.00
2018-05-01,328521.00
2018-06-01,328692.00
2018-07-01,328863.00
2018-08-01,329040.00
2018-09-01,329216.00
2018-10-01,329379.00
2018-11-01,329527.00
2018-12-01,329659.00
2019-01-01,329766.00
2019-02-01,329862.00
2019-03-01,329977.00
2019-04-01,330103.00
2019-05-01,330240.00
2019-06-01,330393.00
2019-07-01,330553.00
2019-08-01,330729.00
2019-09-01,330904.00
2019-10-01,331066.00
2019-11-01,331213.00
2019-12-01,331345.00
2020-01-01,331443.00
2020-02-01,331525.00
2020-03-01,331634.00
2020-04-01,331684.00
2020-05-01,331685.00
2020-06-01,331728.00
2020-07-01,331795.00
2020-08-01,331870.00
2020-09-01,331950.00
2020-10-01,332025.00
2020-11-01,332063.00
2020-12-01,332047.00
2021-01-01,331992.00
2021-02-01,331968.00
2021-03-01,332007.00
2021-04-01,332073.00
2021-05-01,332144.00
2021-06-01,332231.00
2021-07-01,332358.00
2021-08-01,332489.00
2021-09-01,332594.00
2021-10-01,332692.00
2021-11-01,332790.00
2021-12-01,332876.00
2022-01-01,332918.00
2022-02-01,332959.00
2022-03-01,333056.00
2022-04-01,333184.00
2022-05-01,333317.00
2022-06-01,333460.00
2022-07-01,333624.00
2022-08-01,333799.00
2022-09-01,333976.00
2022-10-01,334141.00
2022-11-01,334287.00
2022-12-01,334420.00
2023-01-01,334533.00
2023-02-01,334637.00
2023-03-01,334753.00
